chance1.png,A,25
chance2.png,A,150
chance3.png,A,80
chance4.png,A,200
chance5.png,A,50
chance6.png,A,50
chance7.png,A,100
chance8.png,A,100
chance9.png,L,0
chance10.png,A,200
chance11.png,M,50
chance12.png,A,45
chance13.png,A,100
chance14.png,A,100
chance15.png,A,20
chance16.png,S,-15
chance17.png,S,-25
chance18.png,S,-45
chance19.png,S,-30
chance20.png,S,-100
chance21.png,S,-100
chance22.png,S,-40
chance23.png,P,0
chance24.png,S,-30
chance25.png,S,-50
chance26.png,S,-25
chance27.png,S,-30
chance28.png,S,-45
chance29.png,S,-50
chance30.png,S,-50
